humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,skeptic_fraction,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.44666666666666666,0.81,0.2966666666666667,0.33666666666666667,48,13,0.0,0.35,0.0,0.0,3,5,True
300,0.49,0.9033333333333333,0.25,0.45,70,8,0.0,0.35,0.0,0.0,3,6,True
300,0.4866666666666667,0.8466666666666667,0.18666666666666668,0.53,69,6,0.0,0.35,0.0,0.0,3,7,True
300,0.5366666666666666,0.9033333333333333,0.34,0.38333333333333336,74,7,0.0,0.35,0.0,0.0,3,8,True
300,0.33666666666666667,0.7233333333333334,0.17666666666666667,0.4266666666666667,36,4,0.0,0.35,0.0,0.0,3,9,True
300,0.44333333333333336,0.8533333333333334,0.19333333333333333,0.48,75,8,0.0,0.35,0.0,0.0,3,10,True
300,0.5733333333333334,0.9066666666666666,0.29,0.47,82,6,0.0,0.35,0.0,0.0,3,11,True
300,0.37666666666666665,0.74,0.10333333333333333,0.5233333333333333,54,5,0.0,0.35,0.0,0.0,3,12,True
300,0.41333333333333333,0.8,0.19,0.4533333333333333,53,5,0.0,0.35,0.0,0.0,3,13,True
300,0.5633333333333334,0.9033333333333333,0.36666666666666664,0.35333333333333333,85,7,0.0,0.35,0.0,0.0,3,14,True
300,0.42333333333333334,0.8066666666666666,0.21333333333333335,0.48333333333333334,53,6,0.0,0.35,0.0,0.0,3,15,True
300,0.38666666666666666,0.8133333333333334,0.22333333333333333,0.41333333333333333,53,6,0.0,0.35,0.0,0.0,3,16,True
300,0.4166666666666667,0.81,0.26666666666666666,0.3566666666666667,60,8,0.0,0.35,0.0,0.0,3,17,True
300,0.41,0.7733333333333333,0.22333333333333333,0.43,60,6,0.0,0.35,0.0,0.0,3,18,True
300,0.49333333333333335,0.88,0.32666666666666666,0.37666666666666665,75,7,0.0,0.35,0.0,0.0,3,19,True
300,0.39666666666666667,0.7866666666666666,0.23333333333333334,0.38,48,4,0.0,0.35,0.0,0.0,3,20,True
300,0.25333333333333335,0.5566666666666666,0.13,0.2733333333333333,18,9,0.0,0.35,0.0,0.0,3,21,True
300,0.48333333333333334,0.8933333333333333,0.19333333333333333,0.5933333333333334,74,6,0.0,0.35,0.0,0.0,3,22,True
300,0.5733333333333334,0.9166666666666666,0.32,0.43,97,6,0.0,0.35,0.0,0.0,3,23,True
300,0.6233333333333333,0.9633333333333334,0.43,0.3466666666666667,98,6,0.0,0.35,0.0,0.0,3,24,True
300,0.53,0.8733333333333333,0.3333333333333333,0.4033333333333333,82,6,0.0,0.35,0.0,0.0,3,25,True
300,0.4533333333333333,0.83,0.29,0.35,77,4,0.0,0.35,0.0,0.0,3,26,True
300,0.4066666666666667,0.7566666666666667,0.30333333333333334,0.24,49,8,0.0,0.35,0.0,0.0,3,27,True
300,0.35333333333333333,0.7333333333333333,0.13,0.46,40,6,0.0,0.35,0.0,0.0,3,28,True
300,0.43666666666666665,0.83,0.16,0.5266666666666666,73,6,0.0,0.35,0.0,0.0,3,29,True
300,0.62,0.9333333333333333,0.38666666666666666,0.38,99,5,0.0,0.4,0.0,0.0,3,0,True
300,0.3433333333333333,0.7033333333333334,0.19,0.37666666666666665,36,5,0.0,0.4,0.0,0.0,3,1,True
300,0.45666666666666667,0.83,0.20666666666666667,0.51,69,5,0.0,0.4,0.0,0.0,3,2,True
300,0.30666666666666664,0.6866666666666666,0.14333333333333334,0.37666666666666665,28,4,0.0,0.4,0.0,0.0,3,3,True
300,0.3933333333333333,0.7133333333333334,0.2633333333333333,0.30333333333333334,33,11,0.0,0.4,0.0,0.0,3,4,True
300,0.5266666666666666,0.8866666666666667,0.34,0.36333333333333334,67,7,0.0,0.4,0.0,0.0,3,5,True
300,0.43,0.8,0.15333333333333332,0.48333333333333334,54,7,0.0,0.4,0.0,0.0,3,6,True
300,0.5966666666666667,0.91,0.39,0.39666666666666667,82,6,0.0,0.4,0.0,0.0,3,7,True
