humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,bot_placement,factcheck_fraction,run,cascade
291,0.1718213058419244,0.584192439862543,0.0859106529209622,0.3127147766323024,19,9,0.03,periphery,0.0,5,False
291,0.12027491408934708,0.49140893470790376,0.07216494845360824,0.2508591065292096,12,6,0.03,periphery,0.0,6,False
291,0.12714776632302405,0.5567010309278351,0.06529209621993128,0.27835051546391754,14,4,0.03,periphery,0.0,7,False
291,0.1134020618556701,0.436426116838488,0.05154639175257732,0.23711340206185566,22,5,0.03,periphery,0.0,8,False
291,0.19243986254295534,0.6048109965635738,0.12371134020618557,0.2852233676975945,18,7,0.03,periphery,0.0,9,False
291,0.14776632302405499,0.5120274914089347,0.09621993127147767,0.21649484536082475,9,3,0.03,periphery,0.0,10,False
291,0.16494845360824742,0.563573883161512,0.10309278350515463,0.2611683848797251,19,5,0.03,periphery,0.0,11,False
291,0.17525773195876287,0.5532646048109966,0.09621993127147767,0.29553264604810997,14,11,0.03,periphery,0.0,12,False
291,0.140893470790378,0.49828178694158076,0.07903780068728522,0.23367697594501718,14,8,0.03,periphery,0.0,13,False
291,0.16151202749140894,0.5463917525773195,0.11683848797250859,0.2027491408934708,10,5,0.03,periphery,0.0,14,False
291,0.22336769759450173,0.6838487972508591,0.12371134020618557,0.3333333333333333,28,7,0.03,periphery,0.0,15,True
291,0.17525773195876287,0.5910652920962199,0.09621993127147767,0.3161512027491409,25,6,0.03,periphery,0.0,16,False
291,0.18900343642611683,0.5945017182130584,0.1134020618556701,0.25773195876288657,25,5,0.03,periphery,0.0,17,False
291,0.14432989690721648,0.5876288659793815,0.0859106529209622,0.26804123711340205,13,4,0.03,periphery,0.0,18,False
291,0.18556701030927836,0.5876288659793815,0.09278350515463918,0.2852233676975945,23,4,0.03,periphery,0.0,19,False
291,0.16494845360824742,0.5463917525773195,0.08247422680412371,0.29553264604810997,17,3,0.03,periphery,0.0,20,False
291,0.23367697594501718,0.6907216494845361,0.16838487972508592,0.2852233676975945,27,4,0.03,periphery,0.0,21,True
291,0.15463917525773196,0.5567010309278351,0.08934707903780069,0.27835051546391754,12,4,0.03,periphery,0.0,22,False
291,0.17525773195876287,0.5773195876288659,0.07216494845360824,0.31958762886597936,17,10,0.03,periphery,0.0,23,False
291,0.15120274914089346,0.5360824742268041,0.10309278350515463,0.23711340206185566,7,8,0.03,periphery,0.0,24,False
291,0.22336769759450173,0.6872852233676976,0.12027491408934708,0.39862542955326463,29,9,0.03,periphery,0.0,25,True
291,0.20618556701030927,0.5945017182130584,0.13745704467353953,0.24398625429553264,30,5,0.03,periphery,0.0,26,True
291,0.1718213058419244,0.6048109965635738,0.0859106529209622,0.32989690721649484,18,4,0.03,periphery,0.0,27,False
291,0.07903780068728522,0.3470790378006873,0.044673539518900345,0.18556701030927836,13,4,0.03,periphery,0.0,28,False
291,0.18213058419243985,0.6804123711340206,0.06529209621993128,0.45017182130584193,20,4,0.03,periphery,0.0,29,False
