humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,network,p_share,bot_fraction,factcheck_fraction,initial_spreaders,run,cascade
300,0.09666666666666666,0.4033333333333333,0.05,0.17666666666666667,11,7,scale_free,0.125,0.0,0.0,3,11,False
300,0.01,0.03333333333333333,0.006666666666666667,0.01,3,0,scale_free,0.125,0.0,0.0,3,12,False
300,0.023333333333333334,0.12666666666666668,0.013333333333333334,0.04,3,0,scale_free,0.125,0.0,0.0,3,13,False
300,0.01,0.03333333333333333,0.006666666666666667,0.01,3,0,scale_free,0.125,0.0,0.0,3,14,False
300,0.016666666666666666,0.043333333333333335,0.016666666666666666,0.0,4,1,scale_free,0.125,0.0,0.0,3,15,False
300,0.08,0.4066666666666667,0.04666666666666667,0.15333333333333332,10,7,scale_free,0.125,0.0,0.0,3,16,False
300,0.02666666666666667,0.13666666666666666,0.023333333333333334,0.02666666666666667,6,2,scale_free,0.125,0.0,0.0,3,17,False
300,0.14666666666666667,0.53,0.09666666666666666,0.21,12,13,scale_free,0.125,0.0,0.0,3,18,False
300,0.02,0.08,0.01,0.023333333333333334,5,1,scale_free,0.125,0.0,0.0,3,19,False
300,0.043333333333333335,0.23333333333333334,0.013333333333333334,0.08,6,2,scale_free,0.125,0.0,0.0,3,20,False
300,0.01,0.05,0.01,0.0,3,0,scale_free,0.125,0.0,0.0,3,21,False
300,0.12,0.5066666666666667,0.08,0.19666666666666666,15,5,scale_free,0.125,0.0,0.0,3,22,False
300,0.016666666666666666,0.05,0.016666666666666666,0.0,4,2,scale_free,0.125,0.0,0.0,3,23,False
300,0.01,0.03,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.125,0.0,0.0,3,24,False
300,0.013333333333333334,0.043333333333333335,0.006666666666666667,0.013333333333333334,4,1,scale_free,0.125,0.0,0.0,3,25,False
300,0.11,0.5066666666666667,0.056666666666666664,0.24,11,7,scale_free,0.125,0.0,0.0,3,26,False
300,0.07333333333333333,0.3933333333333333,0.043333333333333335,0.13333333333333333,10,7,scale_free,0.125,0.0,0.0,3,27,False
300,0.07666666666666666,0.43,0.043333333333333335,0.14333333333333334,9,6,scale_free,0.125,0.0,0.0,3,28,False
300,0.02,0.07333333333333333,0.016666666666666666,0.01,4,2,scale_free,0.125,0.0,0.0,3,29,False
300,0.11333333333333333,0.48,0.056666666666666664,0.22666666666666666,18,7,scale_free,0.15,0.0,0.0,3,0,False
300,0.043333333333333335,0.17333333333333334,0.03,0.05,7,2,scale_free,0.15,0.0,0.0,3,1,False
300,0.05333333333333334,0.32,0.023333333333333334,0.14333333333333334,6,9,scale_free,0.15,0.0,0.0,3,2,False
300,0.05,0.27666666666666667,0.02666666666666667,0.08666666666666667,7,5,scale_free,0.15,0.0,0.0,3,3,False
300,0.023333333333333334,0.12333333333333334,0.01,0.04,4,2,scale_free,0.15,0.0,0.0,3,4,False
300,0.013333333333333334,0.05,0.013333333333333334,0.0033333333333333335,4,2,scale_free,0.15,0.0,0.0,3,5,False
300,0.10333333333333333,0.43,0.03,0.28,15,5,scale_free,0.15,0.0,0.0,3,6,False
300,0.01,0.023333333333333334,0.01,0.0,3,0,scale_free,0.15,0.0,0.0,3,7,False
300,0.07333333333333333,0.33,0.056666666666666664,0.07333333333333333,11,6,scale_free,0.15,0.0,0.0,3,8,False
300,0.023333333333333334,0.09,0.01,0.03666666666666667,5,2,scale_free,0.15,0.0,0.0,3,9,False
300,0.08,0.3566666666666667,0.04666666666666667,0.14333333333333334,10,3,scale_free,0.15,0.0,0.0,3,10,False
300,0.13666666666666666,0.51,0.07333333333333333,0.23,17,8,scale_free,0.15,0.0,0.0,3,11,False
300,0.07666666666666666,0.35333333333333333,0.03666666666666667,0.11,7,6,scale_free,0.15,0.0,0.0,3,12,False
300,0.08666666666666667,0.37333333333333335,0.03333333333333333,0.18,10,6,scale_free,0.15,0.0,0.0,3,13,False
300,0.01,0.03333333333333333,0.006666666666666667,0.01,3,0,scale_free,0.15,0.0,0.0,3,14,False
300,0.016666666666666666,0.043333333333333335,0.016666666666666666,0.0,4,1,scale_free,0.15,0.0,0.0,3,15,False
300,0.05333333333333334,0.2866666666666667,0.016666666666666666,0.18,9,4,scale_free,0.15,0.0,0.0,3,16,False
300,0.02666666666666667,0.13666666666666666,0.023333333333333334,0.02666666666666667,6,2,scale_free,0.15,0.0,0.0,3,17,False
300,0.07,0.2966666666666667,0.03,0.16,12,7,scale_free,0.15,0.0,0.0,3,18,False
300,0.03666666666666667,0.14333333333333334,0.02,0.05333333333333334,6,1,scale_free,0.15,0.0,0.0,3,19,False
300,0.07666666666666666,0.3333333333333333,0.043333333333333335,0.13666666666666666,12,4,scale_free,0.15,0.0,0.0,3,20,False
300,0.01,0.05,0.01,0.0,3,0,scale_free,0.15,0.0,0.0,3,21,False
300,0.15666666666666668,0.5733333333333334,0.06333333333333334,0.31333333333333335,18,5,scale_free,0.15,0.0,0.0,3,22,False
300,0.016666666666666666,0.05,0.016666666666666666,0.0,4,2,scale_free,0.15,0.0,0.0,3,23,False
300,0.01,0.03,0.006666666666666667,0.006666666666666667,3,0,scale_free,0.15,0.0,0.0,3,24,False
300,0.013333333333333334,0.043333333333333335,0.006666666666666667,0.013333333333333334,4,1,scale_free,0.15,0.0,0.0,3,25,False
300,0.09333333333333334,0.41333333333333333,0.04666666666666667,0.21666666666666667,13,6,scale_free,0.15,0.0,0.0,3,26,False
300,0.09,0.41,0.03,0.21333333333333335,14,7,scale_free,0.15,0.0,0.0,3,27,False
300,0.10333333333333333,0.49333333333333335,0.05333333333333334,0.20333333333333334,10,6,scale_free,0.15,0.0,0.0,3,28,False
300,0.09,0.4,0.05333333333333334,0.13666666666666666,12,9,scale_free,0.15,0.0,0.0,3,29,False
300,0.13333333333333333,0.5166666666666667,0.07,0.23,19,7,scale_free,0.175,0.0,0.0,3,0,False
300,0.08333333333333333,0.4033333333333333,0.02666666666666667,0.22,9,4,scale_free,0.175,0.0,0.0,3,1,False
300,0.10333333333333333,0.44333333333333336,0.07333333333333333,0.10333333333333333,10,11,scale_free,0.175,0.0,0.0,3,2,False
300,0.09333333333333334,0.4,0.05333333333333334,0.15,7,5,scale_free,0.175,0.0,0.0,3,3,False
300,0.05333333333333334,0.25333333333333335,0.016666666666666666,0.12666666666666668,6,9,scale_free,0.175,0.0,0.0,3,4,False
