humans,rumor_reach_frac,exposed_frac,final_rumor_frac,final_correction_frac,peak_rumor_active,time_to_peak,bot_fraction,factcheck_fraction,factcheck_placement,run,cascade,bots,factcheck
285,0.24912280701754386,0.7052631578947368,0.13333333333333333,0.4,36,4,0.05,0.0,hubs,7,True,5%,без фактчекеров
285,0.256140350877193,0.743859649122807,0.17543859649122806,0.34385964912280703,32,4,0.05,0.0,hubs,8,True,5%,без фактчекеров
285,0.17192982456140352,0.5508771929824562,0.11929824561403508,0.24210526315789474,10,6,0.05,0.0,hubs,9,False,5%,без фактчекеров
285,0.21052631578947367,0.5964912280701754,0.15789473684210525,0.23859649122807017,17,4,0.05,0.0,hubs,10,True,5%,без фактчекеров
285,0.27017543859649124,0.7578947368421053,0.18596491228070175,0.3087719298245614,35,4,0.05,0.0,hubs,11,True,5%,без фактчекеров
285,0.29473684210526313,0.8035087719298246,0.17543859649122806,0.43859649122807015,35,6,0.05,0.0,hubs,12,True,5%,без фактчекеров
285,0.23859649122807017,0.7263157894736842,0.12982456140350876,0.45964912280701753,28,3,0.05,0.0,hubs,13,True,5%,без фактчекеров
285,0.24561403508771928,0.712280701754386,0.14736842105263157,0.3824561403508772,24,5,0.05,0.0,hubs,14,True,5%,без фактчекеров
285,0.1649122807017544,0.6385964912280702,0.08070175438596491,0.3157894736842105,21,5,0.05,0.0,hubs,15,False,5%,без фактчекеров
285,0.20350877192982456,0.656140350877193,0.09473684210526316,0.41754385964912283,22,6,0.05,0.0,hubs,16,True,5%,без фактчекеров
285,0.21052631578947367,0.631578947368421,0.13333333333333333,0.3368421052631579,24,5,0.05,0.0,hubs,17,True,5%,без фактчекеров
285,0.2,0.6421052631578947,0.11228070175438597,0.32280701754385965,20,4,0.05,0.0,hubs,18,False,5%,без фактчекеров
285,0.1649122807017544,0.6035087719298246,0.09473684210526316,0.32280701754385965,24,3,0.05,0.0,hubs,19,False,5%,без фактчекеров
285,0.28421052631578947,0.7719298245614035,0.18596491228070175,0.34385964912280703,31,5,0.05,0.0,hubs,20,True,5%,без фактчекеров
285,0.1824561403508772,0.5508771929824562,0.08070175438596491,0.3087719298245614,21,5,0.05,0.0,hubs,21,False,5%,без фактчекеров
285,0.18596491228070175,0.5473684210526316,0.10877192982456141,0.2912280701754386,15,6,0.05,0.0,hubs,22,False,5%,без фактчекеров
285,0.23508771929824562,0.6491228070175439,0.12631578947368421,0.34385964912280703,22,4,0.05,0.0,hubs,23,True,5%,без фактчекеров
285,0.22456140350877193,0.6771929824561403,0.11578947368421053,0.3824561403508772,26,5,0.05,0.0,hubs,24,True,5%,без фактчекеров
285,0.27017543859649124,0.7368421052631579,0.18947368421052632,0.2982456140350877,22,3,0.05,0.0,hubs,25,True,5%,без фактчекеров
285,0.25263157894736843,0.7192982456140351,0.1543859649122807,0.34385964912280703,20,3,0.05,0.0,hubs,26,True,5%,без фактчекеров
285,0.25263157894736843,0.7614035087719299,0.15789473684210525,0.3824561403508772,23,3,0.05,0.0,hubs,27,True,5%,без фактчекеров
285,0.23157894736842105,0.7017543859649122,0.12982456140350876,0.3929824561403509,25,2,0.05,0.0,hubs,28,True,5%,без фактчекеров
285,0.2596491228070175,0.7789473684210526,0.13333333333333333,0.43859649122807015,34,4,0.05,0.0,hubs,29,True,5%,без фактчекеров
270,0.2740740740740741,0.7962962962962963,0.15925925925925927,0.4740740740740741,23,3,0.1,0.0,hubs,0,True,10%,без фактчекеров
270,0.2777777777777778,0.774074074074074,0.17037037037037037,0.45925925925925926,28,4,0.1,0.0,hubs,1,True,10%,без фактчекеров
270,0.25925925925925924,0.7111111111111111,0.2,0.34074074074074073,16,7,0.1,0.0,hubs,2,True,10%,без фактчекеров
270,0.2111111111111111,0.6666666666666666,0.14074074074074075,0.337037037037037,18,4,0.1,0.0,hubs,3,True,10%,без фактчекеров
270,0.2851851851851852,0.7518518518518519,0.13333333333333333,0.5148148148148148,34,3,0.1,0.0,hubs,4,True,10%,без фактчекеров
270,0.24444444444444444,0.7296296296296296,0.13703703703703704,0.43703703703703706,24,3,0.1,0.0,hubs,5,True,10%,без фактчекеров
270,0.25555555555555554,0.7407407407407407,0.18888888888888888,0.37407407407407406,20,3,0.1,0.0,hubs,6,True,10%,без фактчекеров
270,0.32592592592592595,0.8333333333333334,0.18888888888888888,0.5,38,3,0.1,0.0,hubs,7,True,10%,без фактчекеров
270,0.25925925925925924,0.7481481481481481,0.16666666666666666,0.43703703703703706,26,2,0.1,0.0,hubs,8,True,10%,без фактчекеров
270,0.2740740740740741,0.7555555555555555,0.16666666666666666,0.43333333333333335,22,3,0.1,0.0,hubs,9,True,10%,без фактчекеров
270,0.1925925925925926,0.6037037037037037,0.13703703703703704,0.35555555555555557,18,4,0.1,0.0,hubs,10,False,10%,без фактчекеров
270,0.3333333333333333,0.7925925925925926,0.1925925925925926,0.45925925925925926,30,3,0.1,0.0,hubs,11,True,10%,без фактчекеров
270,0.32592592592592595,0.8148148148148148,0.18888888888888888,0.45185185185185184,33,4,0.1,0.0,hubs,12,True,10%,без фактчекеров
270,0.3333333333333333,0.7777777777777778,0.23703703703703705,0.4148148148148148,35,4,0.1,0.0,hubs,13,True,10%,без фактчекеров
270,0.26296296296296295,0.7703703703703704,0.15925925925925927,0.4222222222222222,31,3,0.1,0.0,hubs,14,True,10%,без фактчекеров
270,0.21851851851851853,0.6074074074074074,0.14444444444444443,0.3333333333333333,15,6,0.1,0.0,hubs,15,True,10%,без фактчекеров
270,0.26296296296296295,0.7851851851851852,0.12222222222222222,0.5407407407407407,36,3,0.1,0.0,hubs,16,True,10%,без фактчекеров
270,0.24074074074074073,0.7,0.16666666666666666,0.37777777777777777,19,3,0.1,0.0,hubs,17,True,10%,без фактчекеров
270,0.2222222222222222,0.6888888888888889,0.13703703703703704,0.3925925925925926,16,5,0.1,0.0,hubs,18,True,10%,без фактчекеров
270,0.22592592592592592,0.6592592592592592,0.1259259259259259,0.3888888888888889,20,2,0.1,0.0,hubs,19,True,10%,без фактчекеров
270,0.32222222222222224,0.8407407407407408,0.17037037037037037,0.5111111111111111,34,5,0.1,0.0,hubs,20,True,10%,без фактчекеров
270,0.26666666666666666,0.7222222222222222,0.17037037037037037,0.43703703703703706,26,4,0.1,0.0,hubs,21,True,10%,без фактчекеров
270,0.25925925925925924,0.7074074074074074,0.16666666666666666,0.3888888888888889,24,3,0.1,0.0,hubs,22,True,10%,без фактчекеров
270,0.23333333333333334,0.6962962962962963,0.13703703703703704,0.4111111111111111,22,3,0.1,0.0,hubs,23,True,10%,без фактчекеров
270,0.28888888888888886,0.7555555555555555,0.17407407407407408,0.42962962962962964,32,4,0.1,0.0,hubs,24,True,10%,без фактчекеров
270,0.35185185185185186,0.7962962962962963,0.24814814814814815,0.3814814814814815,32,3,0.1,0.0,hubs,25,True,10%,без фактчекеров
270,0.28888888888888886,0.7074074074074074,0.1814814814814815,0.3814814814814815,30,3,0.1,0.0,hubs,26,True,10%,без фактчекеров
270,0.22592592592592592,0.7296296296296296,0.13333333333333333,0.4925925925925926,20,4,0.1,0.0,hubs,27,True,10%,без фактчекеров
270,0.21481481481481482,0.662962962962963,0.14074074074074075,0.4,20,2,0.1,0.0,hubs,28,True,10%,без фактчекеров
270,0.24814814814814815,0.725925925925926,0.16296296296296298,0.3962962962962963,24,3,0.1,0.0,hubs,29,True,10%,без фактчекеров
291,0.006872852233676976,0.024054982817869417,0.003436426116838488,0.01718213058419244,2,2,0.0,0.03,hubs,0,False,0%,3% фактчекеров в хабах
291,0.006872852233676976,0.030927835051546393,0.003436426116838488,0.013745704467353952,2,1,0.0,0.03,hubs,1,False,0%,3% фактчекеров в хабах
291,0.01718213058419244,0.09965635738831616,0.0,0.06529209621993128,3,2,0.0,0.03,hubs,2,False,0%,3% фактчекеров в хабах
291,0.006872852233676976,0.013745704467353952,0.006872852233676976,0.0,2,2,0.0,0.03,hubs,3,False,0%,3% фактчекеров в хабах
